OrderItemID,OrderID,VariantID,ProductName,Size,Quantity,UnitPrice,LineTotal
1,1001,48,Mauve Trench,L,1,289.00,289.00
2,1002,59,Mauve Block Heel,9,1,239.00,239.00
3,1002,26,Mauve Satin Camisole,S,1,89.00,89.00
4,1002,31,Tailored Wool Trouser,M,1,169.00,169.00
5,1003,31,Tailored Wool Trouser,M,1,169.00,169.00
6,1003,49,Pearl Drop Earrings,OS,1,69.00,69.00
7,1004,44,Cream Wool Coat,L,1,399.00,399.00
8,1005,5,Mauve Bias Midi Dress,XS,1,229.00,229.00
9,1006,30,Tailored Wool Trouser,S,1,169.00,169.00
10,1006,46,Mauve Trench,S,1,289.00,289.00
11,1007,41,Cream Wool Coat,XS,1,399.00,399.00
12,1007,56,Mauve Block Heel,6,1,239.00,239.00
13,1008,54,Ballet Flat,9,1,179.00,179.00
14,1009,39,Blush Wide-Leg Jean,M,1,149.00,149.00
15,1009,46,Mauve Trench,S,1,289.00,289.00
16,1009,17,Cream Silk Blouse,XS,1,159.00,159.00
17,1010,38,Blush Wide-Leg Jean,S,1,149.00,149.00
18,1010,3,Linen Slip Dress,M,1,189.00,189.00
19,1011,43,Cream Wool Coat,M,1,399.00,399.00
20,1012,12,Blush Tulle Mini,L,1,199.00,199.00
21,1012,50,Silk Hair Ribbon,OS,1,29.00,29.00
22,1012,37,Blush Wide-Leg Jean,XS,1,149.00,149.00
23,1013,41,Cream Wool Coat,XS,1,399.00,399.00
24,1013,56,Mauve Block Heel,6,1,239.00,239.00
25,1013,54,Ballet Flat,9,1,179.00,179.00
26,1013,52,Ballet Flat,7,1,179.00,179.00
27,1014,34,Pleated Mini Skirt,S,1,119.00,119.00
28,1014,9,Blush Tulle Mini,XS,1,199.00,199.00
29,1014,20,Cream Silk Blouse,L,1,159.00,159.00
30,1015,1,Linen Slip Dress,XS,1,189.00,189.00
31,1015,6,Mauve Bias Midi Dress,S,1,229.00,229.00
32,1016,20,Cream Silk Blouse,L,1,159.00,159.00
33,1017,58,Mauve Block Heel,8,1,239.00,239.00
34,1017,37,Blush Wide-Leg Jean,XS,1,149.00,149.00
35,1018,35,Pleated Mini Skirt,M,1,119.00,119.00
36,1018,54,Ballet Flat,9,1,179.00,179.00
37,1019,17,Cream Silk Blouse,XS,1,159.00,159.00
38,1020,6,Mauve Bias Midi Dress,S,1,229.00,229.00
39,1021,56,Mauve Block Heel,6,1,239.00,239.00
40,1021,62,Cashmere Beanie,OS,1,89.00,89.00
41,1021,20,Cream Silk Blouse,L,1,159.00,159.00
42,1021,14,Pearl Trim Cardigan,S,1,129.00,129.00
43,1022,1,Linen Slip Dress,XS,1,189.00,189.00
44,1023,54,Ballet Flat,9,1,179.00,179.00
45,1023,58,Mauve Block Heel,8,1,239.00,239.00
46,1024,41,Cream Wool Coat,XS,1,399.00,399.00
47,1024,5,Mauve Bias Midi Dress,XS,1,229.00,229.00
48,1025,39,Blush Wide-Leg Jean,M,1,149.00,149.00
49,1026,43,Cream Wool Coat,M,1,399.00,399.00
50,1026,20,Cream Silk Blouse,L,1,159.00,159.00
51,1027,26,Mauve Satin Camisole,S,1,89.00,89.00
52,1027,22,Rosewood Knit Tee,S,1,79.00,79.00
53,1028,56,Mauve Block Heel,6,1,239.00,239.00
54,1028,6,Mauve Bias Midi Dress,S,1,229.00,229.00
55,1029,22,Rosewood Knit Tee,S,1,79.00,79.00
56,1030,34,Pleated Mini Skirt,S,1,119.00,119.00
57,1031,42,Cream Wool Coat,S,1,399.00,399.00
58,1031,25,Mauve Satin Camisole,XS,1,89.00,89.00
59,1032,24,Rosewood Knit Tee,L,1,79.00,79.00
60,1033,22,Rosewood Knit Tee,S,1,79.00,79.00
61,1033,62,Cashmere Beanie,OS,1,89.00,89.00
62,1034,57,Mauve Block Heel,7,1,239.00,239.00
63,1035,9,Blush Tulle Mini,XS,1,199.00,199.00
64,1035,6,Mauve Bias Midi Dress,S,1,229.00,229.00
